Date/Time,Electricity:Facility [J](TimeStep),InteriorLights:Electricity [J](TimeStep),Electricity:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),DistrictCooling:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Carbon Equivalent:Facility [kg](Hourly),DistrictCooling:Facility [J](TimeStep),DistrictHeating:Facility [J](TimeStep),Carbon Equivalent:Facility [kg](TimeStep) 
 06/22  02:30:00,0.0,0.0,,,,,,122231.5406747154,34035.93777818554,0.0 
 06/22  02:40:00,0.0,0.0,,,,,,120872.74924527147,34035.93777818554,0.0 
 06/22  02:50:00,0.0,0.0,,,,,,119559.33614955175,34035.93777818554,0.0 
 06/22  03:00:00,0.0,0.0,0.0,0.0,729789.1997554478,204215.6266691132,0.0,118285.36812143905,34035.93777818554,0.0 
 06/22  03:10:00,0.0,0.0,,,,,,213196.83400892616,34035.93777818554,0.0 
 06/22  03:20:00,0.0,0.0,,,,,,158943.83542074945,34035.93777818554,0.0 
 06/22  03:30:00,0.0,0.0,,,,,,219540.7350729134,34035.93777818554,0.0 
 06/22  03:40:00,0.0,0.0,,,,,,203209.728959265,34035.93777818554,0.0 
 06/22  03:50:00,0.0,0.0,,,,,,200498.90704394776,34035.93777818554,0.0 
 06/22  04:00:00,0.0,0.0,0.0,0.0,1194241.2700182123,204215.6266691132,0.0,198851.2295124106,34035.93777818554,0.0 
 06/22  04:10:00,0.0,0.0,,,,,,416537.38995614557,34035.93777818554,0.0 
 06/22  04:20:00,0.0,0.0,,,,,,242770.5792558196,34035.93777818554,0.0 
 06/22  04:30:00,0.0,0.0,,,,,,396609.88847856168,34035.93777818554,0.0 
 06/22  04:40:00,0.0,0.0,,,,,,362276.9571165843,34035.93777818554,0.0 
 06/22  04:50:00,0.0,0.0,,,,,,353495.1224230835,34035.93777818554,0.0 
 06/22  05:00:00,0.0,0.0,0.0,0.0,2120357.6181001944,204215.6266691132,0.0,348667.6808699996,34035.93777818554,0.0 
 06/22  05:10:00,12090.749999999998,12090.749999999998,,,,,,357214.5911441003,104693.01964533475,0.0 
 06/22  05:20:00,12090.749999999998,12090.749999999998,,,,,,355695.51273978585,104693.01964533475,0.0 
 06/22  05:30:00,12090.749999999998,12090.749999999998,,,,,,354246.9188301405,104693.01964533475,0.0 
 06/22  05:40:00,12090.749999999998,12090.749999999998,,,,,,353046.82669421067,104693.01964533475,0.0 
 06/22  05:50:00,12090.749999999998,12090.749999999998,,,,,,351821.21238370638,104693.01964533475,0.0 
 06/22  06:00:00,12090.749999999998,12090.749999999998,72544.49999999999,72544.49999999999,2122628.424484844,628158.1178720085,0.0,350603.3626929001,104693.01964533475,0.0 
 06/22  06:10:00,75968.31242395778,75968.31242395778,,,,,,401240.37110268129,299646.29635768968,0.0 
 06/22  06:20:00,74632.06774906109,74632.06774906109,,,,,,406543.3614133997,299646.29635768968,0.0 
 06/22  06:30:00,73371.28492862259,73371.28492862259,,,,,,411491.0596473232,299646.29635768968,0.0 
 06/22  06:40:00,72437.1925926191,72437.1925926191,,,,,,415920.7270201547,299646.29635768968,0.0 
 06/22  06:50:00,71579.4184915508,71579.4184915508,,,,,,419688.16227668276,299646.29635768968,0.0 
