time,G(i),H_sun,T2m,WS10m,Int
20160322:0509,26.0,7.75,12.04,6.17,0.0
20160322:0609,158.0,19.39,12.62,6.57,0.0
20160322:0709,432.0,30.45,14.27,7.31,0.0
20160322:0809,611.01,40.36,15.91,8.05,0.0
20160322:0909,743.01,48.14,17.56,8.79,0.0
20160322:1009,813.01,52.34,18.02,9.42,0.0
20160322:1109,824.01,51.72,18.49,10.05,0.0
20160322:1209,742.01,46.5,18.95,10.68,0.0
20160322:1309,622.01,38.07,18.75,10.6,0.0
20160322:1409,442.0,27.81,18.54,10.52,0.0
20160322:1509,242.0,16.56,18.34,10.44,0.0
20160322:1609,50.02,4.85,17.45,10.17,0.0
20160322:1709,0.0,0.0,16.56,9.9,0.0
20160322:1809,0.0,0.0,15.66,9.63,0.0
20160322:1909,0.0,0.0,15.18,9.27,0.0
20160322:2009,0.0,0.0,14.7,8.92,0.0
20160322:2109,0.0,0.0,14.22,8.57,0.0
20160322:2209,0.0,0.0,14.65,8.44,0.0
20160322:2309,0.0,0.0,15.07,8.31,0.0
20160323:0009,0.0,0.0,15.5,8.18,0.0
20160323:0109,0.0,0.0,15.75,8.68,0.0
20160323:0209,0.0,0.0,16.0,9.18,0.0
20160323:0309,0.0,0.0,16.25,9.68,0.0
20160323:0409,0.0,0.0,16.7,10.49,0.0
20160323:0509,35.0,8.06,17.15,11.3,0.0
20160323:0609,235.0,19.7,17.6,12.11,0.0
20160323:0709,55.0,30.79,17.87,12.74,0.0
20160323:0809,239.0,40.73,18.13,13.36,0.0
20160323:0909,85.0,48.53,18.4,13.99,0.0
20160323:1009,304.0,52.74,18.28,13.86,0.0
20160323:1109,243.0,52.09,18.15,13.74,0.0
20160323:1209,365.0,46.81,18.03,13.61,0.0
20160323:1309,343.0,38.33,17.47,13.47,0.0
20160323:1409,387.0,28.02,16.9,13.33,0.0
20160323:1509,212.0,16.75,16.34,13.19,0.0
20160323:1609,33.76,5.03,15.75,12.39,0.0
20160323:1709,0.0,0.0,15.16,11.59,0.0
20160323:1809,0.0,0.0,14.57,10.79,0.0
20160323:1909,0.0,0.0,14.34,10.91,0.0
20160323:2009,0.0,0.0,14.11,11.03,0.0
20160323:2109,0.0,0.0,13.87,11.16,0.0
20160323:2209,0.0,0.0,13.97,11.01,0.0
20160323:2309,0.0,0.0,14.06,10.86,0.0
20160324:0009,0.0,0.0,14.16,10.72,0.0
20160324:0109,0.0,0.0,14.03,10.72,0.0
20160324:0209,0.0,0.0,13.91,10.73,0.0
20160324:0309,0.0,0.0,13.78,10.73,0.0
20160324:0409,0.0,0.0,13.94,10.52,0.0
20160324:0509,19.0,8.37,14.1,10.31,0.0
20160324:0609,32.0,20.02,14.25,10.1,0.0
20160324:0709,69.0,31.12,14.44,10.17,0.0
20160324:0809,223.0,41.09,14.62,10.25,0.0
20160324:0909,347.0,48.92,14.8,10.33,0.0
20160324:1009,121.0,53.14,14.97,10.39,0.0
20160324:1109,120.0,52.46,15.14,10.44,0.0
20160324:1209,396.0,47.11,15.31,10.5,0.0
20160324:1309,426.0,38.58,15.16,10.2,0.0
20160324:1409,375.0,28.24,15.0,9.91,0.0
20160324:1509,208.0,16.94,14.85,9.61,0.0
20160324:1609,47.4,5.21,14.42,9.26,0.0
20160324:1709,0.0,0.0,13.98,8.91,0.0
20160324:1809,0.0,0.0,13.54,8.57,0.0
20160324:1909,0.0,0.0,13.18,8.1,0.0
20160324:2009,0.0,0.0,12.82,7.64,0.0
20160324:2109,0.0,0.0,12.45,7.17,0.0
20160324:2209,0.0,0.0,12.36,6.68,0.0
20160324:2309,0.0,0.0,12.27,6.18,0.0
20160325:0009,0.0,0.0,12.18,5.68,0.0
20160325:0109,0.0,0.0,11.81,5.51,0.0
20160325:0209,0.0,0.0,11.43,5.34,0.0
20160325:0309,0.0,0.0,11.06,5.17,0.0
20160325:0409,0.0,0.0,11.5,4.67,0.0
20160325:0509,50.0,8.67,11.94,4.17,0.0
20160325:0609,270.0,20.33,12.37,3.67,0.0
20160325:0709,355.0,31.45,13.1,3.28,0.0
20160325:0809,225.0,41.45,13.83,2.9,0.0
20160325:0909,467.0,49.31,14.56,2.51,0.0
20160325:1009,160.0,53.54,14.54,2.51,0.0
20160325:1109,74.0,52.83,14.51,2.5,0.0
20160325:1209,174.0,47.42,14.49,2.5,0.0
20160325:1309,56.0,38.83,14.18,3.51,0.0
20160325:1409,61.0,28.45,13.88,4.53,0.0
20160325:1509,190.0,17.13,13.57,5.54,0.0
20160325:1609,36.46,5.39,12.87,6.72,0.0
20160325:1709,0.0,0.0,12.16,7.9,0.0
20160325:1809,0.0,0.0,11.45,9.08,0.0
20160325:1909,0.0,0.0,10.78,8.96,0.0
20160325:2009,0.0,0.0,10.11,8.85,0.0
20160325:2109,0.0,0.0,9.44,8.73,0.0
20160325:2209,0.0,0.0,9.17,9.06,0.0
20160325:2309,0.0,0.0,8.89,9.39,0.0
20160326:0009,0.0,0.0,8.62,9.72,0.0
20160326:0109,0.0,0.0,7.83,9.61,0.0
20160326:0209,0.0,0.0,7.05,9.5,0.0
20160326:0309,0.0,0.0,6.26,9.39,0.0
20160326:0409,0.0,0.0,6.88,9.12,0.0
20160326:0509,49.0,8.98,7.49,8.85,0.0
20160326:0609,314.0,20.65,8.1,8.58,0.0
20160326:0709,509.01,31.79,9.36,8.22,0.0
20160326:0809,683.01,41.81,10.61,7.85,0.0
20160326:0909,783.01,49.7,11.86,7.49,0.0
20160326:1009,819.01,53.94,12.19,7.07,0.0
20160326:1109,820.01,53.19,12.51,6.64,0.0
20160326:1209,687.01,47.73,12.84,6.22,0.0
20160326:1309,407.0,39.08,12.91,5.56,0.0
20160326:1409,274.0,28.66,12.98,4.91,0.0
20160326:1509,186.0,17.32,13.05,4.25,0.0
20160326:1609,57.87,5.57,12.54,4.08,0.0
20160326:1709,0.0,0.0,12.03,3.91,0.0
20160326:1809,0.0,0.0,11.52,3.74,0.0
20160326:1909,0.0,0.0,11.12,3.6,0.0
20160326:2009,0.0,0.0,10.72,3.46,0.0
20160326:2109,0.0,0.0,10.31,3.32,0.0
20160326:2209,0.0,0.0,10.44,3.05,0.0
20160326:2309,0.0,0.0,10.57,2.78,0.0
20160327:0009,0.0,0.0,10.7,2.51,0.0
20160327:0109,0.0,0.0,10.35,2.46,0.0
20160327:0209,0.0,0.0,10.01,2.41,0.0
20160327:0309,0.0,0.0,9.66,2.36,0.0
20160327:0409,0.0,0.0,9.83,2.8,0.0
20160327:0509,15.0,9.28,10.0,3.25,0.0
20160327:0609,183.0,20.96,10.17,3.7,0.0
20160327:0709,90.0,32.12,10.38,4.16,0.0
20160327:0809,161.0,42.17,10.58,4.63,0.0
20160327:0909,401.0,50.09,10.79,5.09,0.0
20160327:1009,154.0,54.34,10.87,5.28,0.0
20160327:1109,124.0,53.56,10.95,5.47,0.0
20160327:1209,104.0,48.03,11.03,5.66,0.0
20160327:1309,164.0,39.33,10.98,5.43,0.0
20160327:1409,117.0,28.87,10.93,5.2,0.0
20160327:1509,142.0,17.5,10.88,4.97,0.0
20160327:1609,46.0,5.75,10.3,5.13,0.0
20160327:1709,0.0,0.0,9.71,5.3,0.0
20160327:1809,0.0,0.0,9.12,5.46,0.0
20160327:1909,0.0,0.0,8.69,5.87,0.0
20160327:2009,0.0,0.0,8.25,6.28,0.0
20160327:2109,0.0,0.0,7.81,6.69,0.0
20160327:2209,0.0,0.0,7.8,6.75,0.0
20160327:2309,0.0,0.0,7.79,6.81,0.0
20160328:0009,0.0,0.0,7.78,6.87,0.0
20160328:0109,0.0,0.0,7.51,6.7,0.0
20160328:0209,0.0,0.0,7.25,6.54,0.0
20160328:0309,0.0,0.0,6.98,6.37,0.0
20160328:0409,0.0,0.0,7.42,6.07,0.0
20160328:0509,55.0,9.58,7.85,5.77,0.0
20160328:0609,318.0,21.27,8.28,5.48,0.0
20160328:0709,520.01,32.45,9.32,4.96,0.0
20160328:0809,694.01,42.52,10.35,4.44,0.0
20160328:0909,793.01,50.48,11.39,3.92,0.0
20160328:1009,836.01,54.74,12.06,3.2,0.0
20160328:1109,842.01,53.92,12.74,2.47,0.0
20160328:1209,782.01,48.33,13.41,1.75,0.0
20160328:1309,648.01,39.57,13.66,1.29,0.0
20160328:1409,485.0,29.07,13.92,0.82,0.0
20160328:1509,274.0,17.69,14.17,0.36,0.0
20160328:1609,72.0,5.93,13.66,1.31,0.0
20160328:1709,0.0,0.0,13.15,2.26,0.0
20160328:1809,0.0,0.0,12.64,3.21,0.0
20160328:1909,0.0,0.0,12.13,3.7,0.0
20160328:2009,0.0,0.0,11.61,4.18,0.0
20160328:2109,0.0,0.0,11.09,4.66,0.0
20160328:2209,0.0,0.0,11.06,4.83,0.0
20160328:2309,0.0,0.0,11.02,4.99,0.0
20160329:0009,0.0,0.0,10.98,5.16,0.0
20160329:0109,0.0,0.0,10.64,4.8,0.0
20160329:0209,0.0,0.0,10.31,4.44,0.0
20160329:0309,0.0,0.0,9.97,4.08,0.0
20160329:0409,0.0,0.0,10.6,3.88,0.0
20160329:0509,56.0,9.89,11.22,3.67,0.0
20160329:0609,321.0,21.58,11.84,3.46,0.0
20160329:0709,472.0,32.77,12.98,3.38,0.0
20160329:0809,682.01,42.88,14.11,3.31,0.0
20160329:0909,555.0,50.87,15.24,3.23,0.0
20160329:1009,787.01,55.13,15.58,3.62,0.0
20160329:1109,867.01,54.28,15.91,4.01,0.0
20160329:1209,790.01,48.63,16.25,4.4,0.0
20160329:1309,665.01,39.81,16.26,4.51,0.0
20160329:1409,481.0,29.28,16.28,4.62,0.0
20160329:1509,277.0,17.87,16.29,4.73,0.0
20160329:1609,71.0,6.1,15.58,4.85,0.0
20160329:1709,0.0,0.0,14.86,4.97,0.0
20160329:1809,0.0,0.0,14.14,5.09,0.0
20160329:1909,0.0,0.0,13.53,4.83,0.0
20160329:2009,0.0,0.0,12.92,4.57,0.0
20160329:2109,0.0,0.0,12.3,4.32,0.0
20160329:2209,0.0,0.0,12.21,3.87,0.0
20160329:2309,0.0,0.0,12.12,3.43,0.0
20160330:0009,0.0,0.0,12.03,2.98,0.0
20160330:0109,0.0,0.0,11.63,2.82,0.0
20160330:0209,0.0,0.0,11.23,2.66,0.0
20160330:0309,0.0,0.0,10.83,2.5,0.0
20160330:0409,0.0,0.0,11.16,2.35,0.0
20160330:0509,127.0,10.19,11.48,2.21,0.0
20160330:0609,333.0,21.89,11.8,2.07,0.0
20160330:0709,534.01,33.1,13.21,1.81,0.0
20160330:0809,708.01,43.23,14.61,1.54,0.0
20160330:0909,823.01,51.25,16.01,1.28,0.0
20160330:1009,885.01,55.53,16.55,1.81,0.0
20160330:1109,876.01,54.64,17.1,2.34,0.0
20160330:1209,790.01,48.92,17.64,2.87,0.0
20160330:1309,665.01,40.05,17.65,3.26,0.0
20160330:1409,492.0,29.48,17.66,3.64,0.0
20160330:1509,280.0,18.05,17.67,4.03,0.0
20160330:1609,78.0,6.28,16.69,4.08,0.0
20160330:1709,0.0,0.0,15.71,4.13,0.0
20160330:1809,0.0,0.0,14.73,4.18,0.0
20160330:1909,0.0,0.0,14.39,4.17,0.0
20160330:2009,0.0,0.0,14.04,4.15,0.0
20160330:2109,0.0,0.0,13.69,4.14,0.0
20160330:2209,0.0,0.0,13.59,4.09,0.0
20160330:2309,0.0,0.0,13.48,4.04,0.0
20160331:0009,0.0,0.0,13.37,3.99,0.0
20160331:0109,0.0,0.0,12.6,3.88,0.0
20160331:0209,0.0,0.0,11.83,3.77,0.0
20160331:0309,0.0,0.0,11.06,3.67,0.0
20160331:0409,0.0,0.0,11.64,3.8,0.0
20160331:0509,136.0,10.49,12.22,3.94,0.0
20160331:0609,343.0,22.2,12.8,4.07,0.0
20160331:0709,537.01,33.43,14.12,4.22,0.0
20160331:0809,710.01,43.59,15.43,4.37,0.0
20160331:0909,824.01,51.63,16.74,4.52,0.0
20160331:1009,880.01,55.93,17.4,4.63,0.0
20160331:1109,876.01,55.0,18.07,4.74,0.0
20160331:1209,794.01,49.22,18.73,4.86,0.0
20160331:1309,672.01,40.29,18.72,5.12,0.0
20160331:1409,488.0,29.68,18.72,5.39,0.0
20160331:1509,285.0,18.24,18.71,5.66,0.0
20160331:1609,82.0,6.45,17.68,5.59,0.0
20160331:1709,0.0,0.0,16.65,5.53,0.0
20160331:1809,0.0,0.0,15.61,5.46,0.0
20160331:1909,0.0,0.0,14.88,5.19,0.0
20160331:2009,0.0,0.0,14.15,4.91,0.0
20160331:2109,0.0,0.0,13.41,4.63,0.0
20160331:2209,0.0,0.0,13.16,4.31,0.0
20160331:2309,0.0,0.0,12.91,3.98,0.0
20160401:0009,0.0,0.0,12.66,3.66,0.0
20160401:0109,0.0,0.0,12.42,3.65,0.0
20160401:0209,0.0,0.0,12.17,3.64,0.0
20160401:0309,0.0,0.0,11.93,3.63,0.0
20160401:0409,0.0,0.0,12.32,3.41,0.0
20160401:0509,84.0,10.79,12.71,3.2,0.0
20160401:0609,253.0,22.5,13.1,2.98,0.0
20160401:0709,449.0,33.75,14.28,3.08,0.0
20160401:0809,681.01,43.94,15.46,3.18,0.0
20160401:0909,702.01,52.02,16.64,3.28,0.0
20160401:1009,811.01,56.32,17.36,3.73,0.0
20160401:1109,802.01,55.36,18.07,4.17,0.0
20160401:1209,645.0,49.51,18.78,4.62,0.0
20160401:1309,608.01,40.53,18.51,4.63,0.0
20160401:1409,327.0,29.88,18.24,4.63,0.0
20160401:1509,265.0,18.42,17.97,4.63,0.0
20160401:1609,55.0,6.63,17.38,4.62,0.0
20160401:1709,0.0,0.0,16.79,4.61,0.0
20160401:1809,0.0,0.0,16.2,4.59,0.0
20160401:1909,0.0,0.0,15.68,4.58,0.0
20160401:2009,0.0,0.0,15.16,4.57,0.0
20160401:2109,0.0,0.0,14.64,4.55,0.0
20160401:2209,0.0,0.0,14.51,4.4,0.0
20160401:2309,0.0,0.0,14.37,4.26,0.0
20160402:0009,0.0,0.0,14.23,4.11,0.0
20160402:0109,0.0,0.0,13.81,3.92,0.0
20160402:0209,0.0,0.0,13.38,3.72,0.0
20160402:0309,0.0,0.0,12.96,3.53,0.0
20160402:0409,0.0,0.0,13.01,3.31,0.0
20160402:0509,66.0,11.09,13.07,3.09,0.0
20160402:0609,161.0,22.81,13.12,2.87,0.0
20160402:0709,259.0,34.07,14.42,3.11,0.0
20160402:0809,383.0,44.29,15.73,3.36,0.0
20160402:0909,442.0,52.4,17.03,3.6,0.0
20160402:1009,476.0,56.71,17.66,3.49,0.0
20160402:1109,494.0,55.71,18.29,3.39,0.0
20160402:1209,539.0,49.8,18.92,3.28,0.0
20160402:1309,477.0,40.76,18.58,2.99,0.0
20160402:1409,368.0,30.08,18.23,2.7,0.0
20160402:1509,235.0,18.59,17.88,2.41,0.0
20160402:1609,72.0,6.8,17.12,2.46,0.0
20160402:1709,0.0,0.0,16.35,2.51,0.0
20160402:1809,0.0,0.0,15.59,2.57,0.0
20160402:1909,0.0,0.0,14.96,2.93,0.0
20160402:2009,0.0,0.0,14.33,3.29,0.0
20160402:2109,0.0,0.0,13.69,3.66,0.0
20160402:2209,0.0,0.0,13.58,4.52,0.0
20160402:2309,0.0,0.0,13.47,5.38,0.0
20160403:0009,0.0,0.0,13.36,6.25,0.0
20160403:0109,0.0,0.0,13.16,6.44,0.0
20160403:0209,0.0,0.0,12.95,6.63,0.0
20160403:0309,0.0,0.0,12.75,6.81,0.0
20160403:0409,0.0,0.0,13.25,7.37,0.0
20160403:0509,53.0,11.38,13.74,7.93,0.0
20160403:0609,124.0,23.11,14.24,8.48,0.0
20160403:0709,256.0,34.39,14.81,8.5,0.0
20160403:0809,304.0,44.63,15.38,8.52,0.0
20160403:0909,492.0,52.78,15.95,8.54,0.0
20160403:1009,548.0,57.1,16.37,8.71,0.0
20160403:1109,611.0,56.06,16.79,8.89,0.0
20160403:1209,575.0,50.08,17.21,9.06,0.0
20160403:1309,564.0,40.99,17.07,8.45,0.0
20160403:1409,373.0,30.27,16.92,7.83,0.0
20160403:1509,250.0,18.77,16.77,7.21,0.0
20160403:1609,67.0,6.98,16.25,7.14,0.0
20160403:1709,0.0,0.0,15.72,7.06,0.0
20160403:1809,0.0,0.0,15.2,6.98,0.0
20160403:1909,0.0,0.0,14.63,7.23,0.0
20160403:2009,0.0,0.0,14.06,7.48,0.0
20160403:2109,0.0,0.0,13.48,7.72,0.0
20160403:2209,0.0,0.0,13.38,7.61,0.0
20160403:2309,0.0,0.0,13.28,7.5,0.0
20160404:0009,0.0,0.0,13.18,7.39,0.0
20160404:0109,0.0,0.0,13.11,7.08,0.0
20160404:0209,0.0,0.0,13.03,6.76,0.0
20160404:0309,0.0,0.0,12.96,6.44,0.0
20160404:0409,0.0,0.0,13.57,6.46,0.0
20160404:0509,131.0,11.68,14.19,6.48,0.0
20160404:0609,336.0,23.41,14.8,6.5,0.0
20160404:0709,539.0,34.71,15.77,6.53,0.0
20160404:0809,699.01,44.98,16.75,6.56,0.0
20160404:0909,811.01,53.15,17.72,6.59,0.0
20160404:1009,875.01,57.49,18.17,6.53,0.0
20160404:1109,869.01,56.41,18.61,6.46,0.0
20160404:1209,790.01,50.37,19.05,6.4,0.0
20160404:1309,663.01,41.22,18.87,5.86,0.0
20160404:1409,483.0,30.47,18.68,5.32,0.0
20160404:1509,282.0,18.95,18.49,4.79,0.0
20160404:1609,89.0,7.15,18.02,4.57,0.0
20160404:1709,0.0,0.0,17.54,4.36,0.0
20160404:1809,0.0,0.0,17.07,4.15,0.0
20160404:1909,0.0,0.0,16.62,4.04,0.0
20160404:2009,0.0,0.0,16.17,3.93,0.0
20160404:2109,0.0,0.0,15.72,3.82,0.0
20160404:2209,0.0,0.0,15.54,3.74,0.0
20160404:2309,0.0,0.0,15.35,3.66,0.0
20160405:0009,0.0,0.0,15.16,3.57,0.0
20160405:0109,0.0,0.0,14.62,3.46,0.0
20160405:0209,0.0,0.0,14.08,3.34,0.0
20160405:0309,0.0,0.0,13.54,3.23,0.0
20160405:0409,0.0,0.0,14.24,3.3,0.0
20160405:0509,141.0,11.97,14.95,3.37,0.0
20160405:0609,349.0,23.71,15.65,3.43,0.0
20160405:0709,550.0,35.03,16.63,3.49,0.0
20160405:0809,712.01,45.32,17.61,3.54,0.0
20160405:0909,829.01,53.53,18.58,3.59,0.0
20160405:1009,879.01,57.88,18.92,3.63,0.0
20160405:1109,873.01,56.76,19.25,3.68,0.0
20160405:1209,794.01,50.65,19.58,3.72,0.0
20160405:1309,667.01,41.45,19.34,3.56,0.0
20160405:1409,491.0,30.66,19.1,3.4,0.0
20160405:1509,283.0,19.12,18.85,3.24,0.0
20160405:1609,82.0,7.32,18.23,2.99,0.0
20160405:1709,0.0,0.0,17.6,2.74,0.0
20160405:1809,0.0,0.0,16.98,2.48,0.0
20160405:1909,0.0,0.0,16.75,2.51,0.0
20160405:2009,0.0,0.0,16.52,2.54,0.0
20160405:2109,0.0,0.0,16.28,2.57,0.0
20160405:2209,0.0,0.0,16.02,2.87,0.0
20160405:2309,0.0,0.0,15.76,3.17,0.0
20160406:0009,0.0,0.0,15.5,3.48,0.0
20160406:0109,0.0,0.0,14.85,3.28,0.0
20160406:0209,0.0,0.0,14.19,3.09,0.0
20160406:0309,0.0,0.0,13.54,2.9,0.0
20160406:0409,0.0,0.0,14.27,2.87,0.0
20160406:0509,138.0,12.26,15.01,2.85,0.0
20160406:0609,350.0,24.01,15.74,2.83,0.0
20160406:0709,548.0,35.34,17.02,2.69,0.0
20160406:0809,712.01,45.66,18.3,2.56,0.0
20160406:0909,834.01,53.9,19.57,2.43,0.0
20160406:1009,883.01,58.26,19.71,2.24,0.0
20160406:1109,876.01,57.11,19.85,2.06,0.0
20160406:1209,802.01,50.93,19.98,1.88,0.0
20160406:1309,670.01,41.67,19.79,1.34,0.0
20160406:1409,491.0,30.85,19.6,0.8,0.0
20160406:1509,288.0,19.3,19.41,0.26,0.0
20160406:1609,89.0,7.49,18.71,0.25,0.0
20160406:1709,0.0,0.0,18.0,0.24,0.0
20160406:1809,0.0,0.0,17.29,0.23,0.0
20160406:1909,0.0,0.0,17.05,0.37,0.0
20160406:2009,0.0,0.0,16.81,0.51,0.0
20160406:2109,0.0,0.0,16.57,0.65,0.0
20160406:2209,0.0,0.0,16.3,0.88,0.0
20160406:2309,0.0,0.0,16.02,1.12,0.0
20160407:0009,0.0,0.0,15.75,1.35,0.0
20160407:0109,0.0,0.0,15.53,1.24,0.0
20160407:0209,0.0,0.0,15.31,1.13,0.0
20160407:0309,0.0,0.0,15.09,1.02,0.0
20160407:0409,0.0,0.0,15.41,0.83,0.0
20160407:0509,131.0,12.55,15.73,0.63,0.0
20160407:0609,351.0,24.3,16.05,0.44,0.0
20160407:0709,532.0,35.65,16.98,0.97,0.0
20160407:0809,697.01,46.0,17.91,1.5,0.0
20160407:0909,806.01,54.27,18.83,2.03,0.0
20160407:1009,796.01,58.65,18.87,2.4,0.0
20160407:1109,846.01,57.45,18.91,2.78,0.0
20160407:1209,620.0,51.21,18.95,3.16,0.0
20160407:1309,475.0,41.9,18.55,3.36,0.0
20160407:1409,91.0,31.04,18.15,3.55,0.0
20160407:1509,127.0,19.47,17.75,3.75,0.0
20160407:1609,43.0,7.66,17.29,3.78,0.0
20160407:1709,0.0,0.0,16.82,3.82,0.0
20160407:1809,0.0,0.0,16.35,3.85,0.0
20160407:1909,0.0,0.0,16.11,4.1,0.0
20160407:2009,0.0,0.0,15.87,4.35,0.0
20160407:2109,0.0,0.0,15.62,4.61,0.0
20160407:2209,0.0,0.0,15.73,5.03,0.0
20160407:2309,0.0,0.0,15.84,5.45,0.0
20160408:0009,0.0,0.0,15.95,5.88,0.0
20160408:0109,0.0,0.0,15.64,6.29,0.0
20160408:0209,0.0,0.0,15.33,6.7,0.0
20160408:0309,0.0,0.0,15.02,7.12,0.0
20160408:0409,0.0,0.0,15.59,7.08,0.0
20160408:0509,164.0,12.83,16.17,7.04,0.0
20160408:0609,318.0,24.6,16.74,7.01,0.0
20160408:0709,540.0,35.96,17.79,6.4,0.0
20160408:0809,713.01,46.33,18.84,5.79,0.0
20160408:0909,833.01,54.64,19.88,5.19,0.0
20160408:1009,880.01,59.03,20.26,5.05,0.0
20160408:1109,869.01,57.79,20.64,4.91,0.0
20160408:1209,782.01,51.48,21.01,4.77,0.0
20160408:1309,611.0,42.12,20.59,5.38,0.0
20160408:1409,255.0,31.23,20.17,6.0,0.0
20160408:1509,233.0,19.64,19.74,6.61,0.0
20160408:1609,66.0,7.83,19.1,6.97,0.0
20160408:1709,0.0,0.0,18.46,7.34,0.0
20160408:1809,0.0,0.0,17.82,7.71,0.0
20160408:1909,0.0,0.0,17.22,7.48,0.0
20160408:2009,0.0,0.0,16.62,7.25,0.0
20160408:2109,0.0,0.0,16.02,7.02,0.0
20160408:2209,0.0,0.0,15.9,6.82,0.0
20160408:2309,0.0,0.0,15.77,6.63,0.0
20160409:0009,0.0,0.0,15.65,6.43,0.0
20160409:0109,0.0,0.0,15.61,6.14,0.0
20160409:0209,0.0,0.0,15.58,5.85,0.0
20160409:0309,0.0,0.0,15.54,5.56,0.0
20160409:0409,0.0,0.0,16.02,5.33,0.0
20160409:0509,87.0,13.12,16.49,5.1,0.0
20160409:0609,290.0,24.88,16.97,4.87,0.0
20160409:0709,462.0,36.26,17.24,4.69,0.0
20160409:0809,565.0,46.67,17.52,4.51,0.0
20160409:0909,828.01,55.01,17.79,4.33,0.0
20160409:1009,851.01,59.41,17.72,4.42,0.0
20160409:1109,588.0,58.13,17.65,4.51,0.0
20160409:1209,156.0,51.75,17.58,4.59,0.0
20160409:1309,343.0,42.33,17.17,4.94,0.0
20160409:1409,425.0,31.41,16.75,5.28,0.0
20160409:1509,214.0,19.81,16.33,5.63,0.0
20160409:1609,92.0,8.0,16.05,5.76,0.0
20160409:1709,0.0,0.0,15.76,5.89,0.0
20160409:1809,0.0,0.0,15.48,6.01,0.0
20160409:1909,0.0,0.0,15.19,6.06,0.0
20160409:2009,0.0,0.0,14.9,6.11,0.0
20160409:2109,0.0,0.0,14.6,6.17,0.0
20160409:2209,0.0,0.0,14.66,6.19,0.0
20160409:2309,0.0,0.0,14.71,6.22,0.0
20160410:0009,0.0,0.0,14.77,6.25,0.0
20160410:0109,0.0,0.0,14.53,5.82,0.0
20160410:0209,0.0,0.0,14.29,5.39,0.0
20160410:0309,0.0,0.0,14.05,4.97,0.0
20160410:0409,0.0,0.0,14.46,4.92,0.0
20160410:0509,109.0,13.4,14.88,4.87,0.0
20160410:0609,362.0,25.17,15.29,4.83,0.0
20160410:0709,524.0,36.56,15.11,5.0,0.0
20160410:0809,659.0,46.99,14.93,5.18,0.0
20160410:0909,573.0,55.37,14.75,5.35,0.0
20160410:1009,527.0,59.78,15.0,5.71,0.0
20160410:1109,94.0,58.46,15.25,6.06,0.0
20160410:1209,506.0,52.02,15.49,6.41,0.0
20160410:1309,149.0,42.55,15.5,6.25,0.0
20160410:1409,253.0,31.6,15.51,6.09,0.0
20160410:1509,282.0,19.98,15.52,5.93,0.0
20160410:1609,80.0,8.17,15.07,6.02,0.0
20160410:1709,0.0,0.0,14.61,6.11,0.0
20160410:1809,0.0,0.0,14.15,6.21,0.0
20160410:1909,0.0,0.0,13.61,6.39,0.0
20160410:2009,0.0,0.0,13.07,6.57,0.0
20160410:2109,0.0,0.0,12.53,6.74,0.0
20160410:2209,0.0,0.0,12.65,6.85,0.0
20160410:2309,0.0,0.0,12.76,6.95,0.0
20160411:0009,0.0,0.0,12.87,7.05,0.0
20160411:0109,0.0,0.0,12.77,6.92,0.0
20160411:0209,0.0,0.0,12.67,6.8,0.0
20160411:0309,0.0,0.0,12.57,6.68,0.0
20160411:0409,0.0,0.0,13.36,6.71,0.0
20160411:0509,43.0,13.68,14.16,6.75,0.0
20160411:0609,191.0,25.45,14.95,6.79,0.0
20160411:0709,140.0,36.86,15.65,6.83,0.0
20160411:0809,619.0,47.32,16.35,6.88,0.0
20160411:0909,817.01,55.73,17.04,6.92,0.0
20160411:1009,901.01,60.16,17.57,6.47,0.0
20160411:1109,889.01,58.8,18.1,6.02,0.0
20160411:1209,813.01,52.29,18.63,5.57,0.0
20160411:1309,678.01,42.76,18.44,4.84,0.0
20160411:1409,504.0,31.78,18.24,4.1,0.0
20160411:1509,299.0,20.15,18.04,3.37,0.0
20160411:1609,106.0,8.34,17.71,2.96,0.0
20160411:1709,0.0,0.0,17.37,2.55,0.0
20160411:1809,0.0,0.0,17.04,2.14,0.0
20160411:1909,0.0,0.0,16.58,1.76,0.0
20160411:2009,0.0,0.0,16.12,1.37,0.0
20160411:2109,0.0,0.0,15.66,0.99,0.0
20160411:2209,0.0,0.0,15.55,1.62,0.0
20160411:2309,0.0,0.0,15.43,2.25,0.0
20160412:0009,0.0,0.0,15.31,2.88,0.0
20160412:0109,0.0,0.0,14.94,3.14,0.0
20160412:0209,0.0,0.0,14.57,3.41,0.0
20160412:0309,0.0,0.0,14.2,3.67,0.0
20160412:0409,0.0,0.0,14.91,4.02,0.0
20160412:0509,176.0,13.95,15.61,4.38,0.0
20160412:0609,392.0,25.73,16.32,4.73,0.0
20160412:0709,589.0,37.16,17.17,4.79,0.0
20160412:0809,747.01,47.64,18.02,4.84,0.0
20160412:0909,863.01,56.09,18.86,4.9,0.0
20160412:1009,910.01,60.53,19.4,4.62,0.0
20160412:1109,902.01,59.13,19.93,4.34,0.0
20160412:1209,821.01,52.55,20.46,4.07,0.0
20160412:1309,696.01,42.97,20.26,3.88,0.0
20160412:1409,515.0,31.96,20.06,3.69,0.0
20160412:1509,312.0,20.32,19.85,3.5,0.0
20160412:1609,109.0,8.5,19.38,3.0,0.0
20160412:1709,0.0,0.0,18.9,2.5,0.0
