,index,Orientation,WWR,Insulation,Flow_rate_z1,Flow_rate_z2,Flow_rate_z3,Electricity:Facility,DistrictHeating:Facility,DistrictCooling:Facility,TotalConsumption,name
99,99,180,0.05,0.35,0.202770277777778,0.158926944444444,0.080848055555556,41.7212258844842,48.0241191135498,24.8648838228883,72.889002936438,triple_on_.idf
9,9,180,0.05,0.35,0,0,0,41.721226,46.023748,31.997363,78.02111,triple_off/idf
9,9,180,0.05,0.35,0,0,0,41.597398,46.116544,26.350681,72.467225,double_off
99,99,180,0.05,0.35,0.202770277777778,0.158926944444444,0.080848055555556,41.5973976911162,48.0901696114028,24.868718253477,72.9588878648798,double_on_.idf
9,9,180,0.05,0.35,,,,41.5466094607914,46.4973286749437,26.5431582521,73.0404869270437,single_off_.idf
