Date/Time,T_out,Cooling Power,Heating Power,avg_T_in,Power
 01/01  00:30:00,8.7,0.0,0.3278412199998656,19.39193139379279,0.3278412199998656
 01/01  01:00:00,9.5,0.0,0.3169127615021963,19.386190751244524,0.3169127615021963
 01/01  01:30:00,9.35,0.0,0.31918936980997803,19.386424889531074,0.31918936980997803
 01/01  02:00:00,9.2,0.0,0.3206296291021465,19.383374564153684,0.3206296291021465
 01/01  02:30:00,9.1,0.0,0.3210763918806046,19.38073942726599,0.3210763918806046
 01/01  03:00:00,9.0,0.0,0.3216685999890743,19.378996212707364,0.3216685999890743
 01/01  03:30:00,8.95,0.0,0.321782293868974,19.37758094135,0.321782293868974
 01/01  04:00:00,8.9,0.0,0.3221758707882892,19.375814366914597,0.3221758707882892
 01/01  04:30:00,8.850000000000003,0.0,0.3227237104210616,19.3736990612591,0.3227237104210616
 01/01  05:00:00,8.8,0.0,0.32346526309742024,19.3713162098848,0.32346526309742024
 01/01  05:30:00,8.75,0.0,0.32443807366739913,19.368639576899607,0.32443807366739913
 01/01  06:00:00,8.7,0.0,0.32553508886865706,19.365719750059156,0.32553508886865706
 01/01  06:30:00,8.75,0.0,0.3839022399145613,19.380793771882892,0.39397786491456127
 01/01  07:00:00,8.8,0.0,0.38339041439550026,19.38683883439899,0.39346603939550023
 01/01  07:30:00,8.8,0.0,0.4963941114095604,19.40925933771174,0.5961867364095604
 01/01  08:00:00,8.8,0.0,0.49533966918876415,19.421191806953427,0.5889427455274255
 01/01  08:30:00,8.850000000000003,0.0,0.4894909716040019,19.428923479427485,0.5770315931443797
 01/01  09:00:00,8.9,0.0,0.4909196454931733,19.438372321274198,0.5656005803948687
 01/01  09:30:00,9.0,0.0,0.31028499306466667,19.43558749561359,0.3710262694844882
 01/01  10:00:00,9.1,0.0,0.30914158710616824,19.442701420781834,0.3596576370981819
 01/01  10:30:00,9.15,0.0,0.28577318907178856,19.459495939441396,0.28577318907178856
 01/01  11:00:00,9.2,0.0,0.28090676605640813,19.467194015902315,0.28090676605640813
 01/01  11:30:00,9.35,0.0,0.2751081480115397,19.475660326049347,0.2751081480115397
 01/01  12:00:00,9.5,0.0,0.268419743864849,19.483469208114904,0.268419743864849
 01/01  12:30:00,9.7,0.0,0.2613726981360014,19.49036275693581,0.2613726981360014
 01/01  13:00:00,9.9,0.0,0.2551822728916125,19.495578424926745,0.2551822728916125
 01/01  13:30:00,10.05,0.0,0.25073584259473924,19.499119220599127,0.25073584259473924
 01/01  14:00:00,10.2,0.0,0.24672834445251704,19.501650372512415,0.24672834445251704
 01/01  14:30:00,10.15,0.0,0.24692317491313126,19.50340451516247,0.24692317491313126
 01/01  15:00:00,10.1,0.0,0.24772041327228508,19.50400891746975,0.24772041327228508
 01/01  15:30:00,10.0,0.0,0.24991268174146364,19.503564479601746,0.24991268174146364
 01/01  16:00:00,9.9,0.0,0.25304482306696713,19.50121788045193,0.25304482306696713
 01/01  16:30:00,9.850000000000003,0.0,0.2561837161792846,19.496956243640387,0.2561837161792846
 01/01  17:00:00,9.8,0.0,0.2599370935052058,19.49136641519757,0.2599370935052058
 01/01  17:30:00,9.600000000000003,0.0,0.2673376952817497,19.484117028090804,0.2673376952817497
 01/01  18:00:00,9.4,0.0,0.27497034506606527,19.476387019210918,0.27497034506606527
 01/01  18:30:00,9.2,0.0,0.3957410917800838,19.477523684376163,0.4058167167800838
 01/01  19:00:00,9.0,0.0,0.4025066790028527,19.471229700433188,0.4125823040028527
 01/01  19:30:00,8.8,0.0,0.4910739073062857,19.477077342966965,0.5762015323062857
 01/01  20:00:00,8.6,0.0,0.494942577676913,19.475295601672016,0.580070202676913
 01/01  20:30:00,8.5,0.0,0.49789311966628735,19.47031156192952,0.5830207446662874
 01/01  21:00:00,8.4,0.0,0.5009879923220029,19.465411742380212,0.5861156173220029
 01/01  21:30:00,8.350000000000003,0.0,0.3398618614099238,19.45222234984414,0.4249894864099238
 01/01  22:00:00,8.3,0.0,0.34339758994362285,19.447993981608274,0.42852521494362283
 01/01  22:30:00,8.2,0.0,0.28695785769433635,19.442869837227548,0.36200985769433636
 01/01  23:00:00,8.1,0.0,0.2910882523506407,19.438601909386822,0.3661402523506407
 01/01  23:30:00,8.0,0.0,0.34017183118347616,19.428235553616645,0.34017183118347616
 01/01  24:00:00,7.9,0.0,0.34640389784267805,19.420673831038386,0.34640389784267805
 01/02  00:30:00,7.85,0.0,0.18888478933851208,19.105706453006437,0.18888478933851208
 01/02  01:00:00,7.8,0.0,0.19123330344806977,19.009731105186393,0.19123330344806977
 01/02  01:30:00,7.699999999999998,0.0,0.19382627662928373,18.945380998274175,0.19382627662928373
 01/02  02:00:00,7.6,0.0,0.19628545622550864,18.884334316858737,0.19628545622550864
 01/02  02:30:00,7.5,0.0,0.19862523919880462,18.83842512184772,0.19862523919880462
 01/02  03:00:00,7.4,0.0,0.20085066592988643,18.79987750898337,0.20085066592988643
 01/02  03:30:00,7.35,0.0,0.20252407775190914,18.762449130679357,0.20252407775190914
 01/02  04:00:00,7.3,0.0,0.20406713550607586,18.72600196336482,0.20406713550607586
 01/02  04:30:00,7.199999999999998,0.0,0.20591701495133627,18.69029635871969,0.20591701495133627
 01/02  05:00:00,7.1,0.0,0.20765701182238452,18.65570184935737,0.20765701182238452
 01/02  05:30:00,7.0,0.0,0.20930181966608224,18.622218541656924,0.20930181966608224
 01/02  06:00:00,6.9,0.0,0.2108574303283458,18.589665256047976,0.2108574303283458
 01/02  06:30:00,6.85,0.0,0.27077027029502665,18.575808543504305,0.2808458952950266
