Date_Time,Temperature_C,Dew_Point_C,Humidity,Wind,Speed_m/s,Gust_m/s,Pressure_Pa,Precip_Rate_mm
18-08-15 23:20,27.22222222,12.22222222,39,157.5,2.235136343,0,99751.56,0
18-08-15 23:50,26.11111111,12.22222222,42,0,1.341081806,0,99751.56,0
18-08-15 0:20,26.11111111,12.22222222,42,0,3.576218149,0,99751.56,0
18-08-15 0:50,25,12.77777778,47,0,3.129190881,0,99751.56,0
18-08-15 1:20,26.11111111,12.77777778,44,0,3.576218149,0,99751.56,0
18-08-15 1:50,25,12.77777778,47,0,2.682163612,0,99751.56,0
18-08-15 2:20,23.88888889,12.77777778,50,337.5,1.341081806,0,99751.56,0
18-08-15 2:50,23.88888889,12.77777778,50,0,1.341081806,0,99751.56,0
18-08-15 3:20,21.11111111,12.22222222,56,0,0,0,99751.56,0
18-08-15 3:50,21.11111111,12.77777778,60,0,1.341081806,0,99751.56,0
18-08-15 4:20,22.22222222,12.77777778,57,292.5,1.341081806,0,99751.56,0
18-08-15 4:50,20,12.22222222,60,0,0.447027269,0,99751.56,0
18-08-15 5:20,20,12.22222222,60,292.5,1.341081806,0,99751.56,0
18-08-15 5:50,22.77777778,12.22222222,50,0,1.341081806,0,99751.56,0
18-08-15 6:20,23.88888889,12.77777778,50,0,0.894054537,0,99751.56,0
18-08-15 6:50,23.88888889,12.77777778,50,0,0.894054537,0,99853.14,0
18-08-15 7:20,25,12.77777778,47,0,0.447027269,0,99853.14,0
18-08-15 7:50,27.77777778,13.88888889,42,0,0.447027269,0,99853.14,0
18-08-15 8:20,28.88888889,13.88888889,40,0,0.894054537,0,99853.14,0
18-08-15 8:50,30,12.77777778,35,0,2.682163612,0,99853.14,0
18-08-15 9:20,30,13.88888889,37,45,2.235136343,0,99853.14,0
18-08-15 9:50,31.11111111,12.77777778,33,67.5,3.129190881,0,99853.14,0
18-08-15 10:20,31.11111111,12.77777778,33,67.5,4.023245418,0,99853.14,0
18-08-15 10:50,32.22222222,12.22222222,29,67.5,4.023245418,0,99853.14,0
18-08-15 11:20,32.22222222,12.22222222,29,0,4.023245418,0,99853.14,0
18-08-15 11:50,32.22222222,10,26,0,4.470272687,0,99853.14,0
18-08-15 12:20,32.77777778,11.11111111,26,67.5,4.470272687,0,99853.14,0
18-08-15 12:50,32.77777778,12.22222222,28,45,5.364327224,0,99853.14,0
18-08-15 13:20,32.22222222,12.22222222,29,22.5,4.470272687,0,99853.14,0
18-08-15 13:50,32.22222222,12.22222222,29,0,4.023245418,0,99853.14,0
18-08-15 14:20,32.77777778,12.77777778,29,0,4.023245418,0,99853.14,0
18-08-15 14:50,32.22222222,12.77777778,31,112.5,4.470272687,0,99853.14,0
18-08-15 15:20,32.77777778,15,34,135,5.811354493,0,99853.14,0
18-08-15 15:50,32.22222222,15,36,135,4.470272687,0,99853.14,0
18-08-15 16:20,32.22222222,13.88888889,33,112.5,3.576218149,0,99853.14,0
18-08-15 16:50,31.11111111,15,38,0,4.470272687,0,99853.14,0
18-08-15 17:20,31.11111111,16.11111111,40,0,4.023245418,0,99853.14,0
18-08-15 17:50,30,17.22222222,45,0,4.470272687,0,99853.14,0
18-08-15 18:20,28.88888889,17.77777778,51,0,3.129190881,0,99853.14,0
18-08-15 18:50,28.88888889,17.22222222,48,67.5,3.576218149,0,99853.14,0
18-08-15 19:20,27.77777778,17.22222222,51,67.5,3.576218149,0,99853.14,0
18-08-15 19:50,27.22222222,16.11111111,51,0,2.235136343,0,99954.72,0
18-08-15 20:20,27.22222222,17.77777778,58,0,2.235136343,0,99954.72,0
18-08-15 20:50,26.11111111,17.77777778,61,0,0,0,99954.72,0
18-08-15 21:20,27.22222222,17.77777778,58,0,0,0,99954.72,0
18-08-15 21:50,25,17.77777778,65,0,0.894054537,0,99954.72,0
18-08-15 22:20,26.11111111,17.22222222,57,0,0.894054537,0,99954.72,0
18-08-15 22:50,25,16.11111111,57,0,2.235136343,0,99954.72,0
19-08-15 23:20,26.11111111,16.11111111,54,0,2.235136343,0,99954.72,0
19-08-15 23:50,26.11111111,16.11111111,54,0,2.235136343,0,99954.72,0
19-08-15 0:20,25,15,54,292.5,1.341081806,0,99954.72,0
19-08-15 0:50,25,15,54,0,0.894054537,0,99853.14,0
19-08-15 1:20,25,16.11111111,57,0,1.341081806,0,99853.14,0
19-08-15 1:50,23.88888889,16.11111111,61,0,0,0,99853.14,0
19-08-15 2:20,22.77777778,16.11111111,65,157.5,0.447027269,0,99853.14,0
19-08-15 2:50,22.77777778,16.11111111,65,112.5,0.447027269,0,99853.14,0
19-08-15 3:20,22.77777778,16.11111111,65,45,0.447027269,0,99954.72,0
19-08-15 3:50,22.22222222,15,64,0,0.447027269,0,99954.72,0
19-08-15 4:20,22.77777778,16.11111111,65,0,0.894054537,0,99954.72,0
19-08-15 4:50,21.11111111,16.11111111,73,292.5,2.235136343,0,99954.72,0
