Date/Time,T_out,Cooling Power,Heating Power,avg_T_in,Power
 08/29  00:10:00,25.4629629625,0.06595275677767529,0.0,25.394821814278032,0.07304404673560862
 08/29  00:20:00,25.37037037,0.06403264494003028,0.0,25.389470194094134,0.0711239348979636
 08/29  00:30:00,25.2777777775,0.06308469472982306,0.0,25.384247607830932,0.07017598468775639
 08/29  00:40:00,25.185185185,0.06301415800126445,0.0,25.37912732446773,0.07010544795919778
 08/29  00:50:00,25.0925925925,0.06360034010298334,0.0,25.374081463998703,0.07069163006091667
 08/29  01:00:00,25.0,0.06461048805655639,0.0,25.36908422844857,0.07170177801448972
 08/29  01:10:00,24.814814815,0.06484220623639361,0.0,25.36411543875627,0.07193349619432694
 08/29  01:20:00,24.62962963,0.06324379303291389,0.0,25.359154570702568,0.07033508299084722
 08/29  01:30:00,24.444444445,0.05886591981848222,0.0,25.354217029423435,0.06595720977641556
 08/29  01:40:00,24.25925926,0.05285515631424778,0.0,25.349278574247766,0.05994644627218111
 08/29  01:50:00,24.074074075,0.046212956002361666,0.0,25.344365541156634,0.053304245960294996
 08/29  02:00:00,23.88888889,0.04116224996575944,0.0,25.336974652601032,0.04825353992369277
 08/29  02:10:00,23.6111111116667,0.039585019421133884,0.0,25.318477788978566,0.04667630937906722
 08/29  02:20:00,23.3333333333333,0.03782532039406055,0.0,25.2930861932041,0.04491661035199389
 08/29  02:30:00,23.055555555,0.035897378549991386,0.0,25.267067600893167,0.042988668507924724
 08/29  02:40:00,22.7777777766667,0.03383534019807417,0.0,25.241956006238933,0.040926630156007504
 08/29  02:50:00,22.4999999983333,0.03167778713053167,0.0,25.217074221637464,0.038769077088465
 08/29  03:00:00,22.22222222,0.02945524351532278,0.0,25.191595758194836,0.036546533473256114
 08/29  03:10:00,22.3148148133333,0.02924097348982,0.0,25.180164840229796,0.03633226344775334
 08/29  03:20:00,22.4074074066667,0.029038381583370555,0.0,25.178075622564602,0.03612967154130389
 08/29  03:30:00,22.5,0.02887791029850528,0.0,25.17721545264237,0.03596920025643861
 08/29  03:40:00,22.5925925933333,0.028765825811839167,0.0,25.175307537408866,0.035857115769772505
 08/29  03:50:00,22.6851851866667,0.028699381689867222,0.0,25.173279951345364,0.03579067164780056
 08/29  04:00:00,22.77777778,0.028673602094321387,0.0,25.1720628634959,0.03576489205225472
 08/29  04:10:00,22.5925925941667,0.02714194964648975,0.0,25.160454422612304,0.03423323960442308
 08/29  04:20:00,22.4074074083333,0.025629158169955774,0.0,25.141670565101766,0.03272044812788911
 08/29  04:30:00,22.2222222225,0.02412702969095047,0.0,25.121995008773137,0.031218319648883806
 08/29  04:40:00,22.0370370366667,0.02262914464395639,0.0,25.103256586849167,0.029720434601889723
 08/29  04:50:00,21.8518518508333,0.02112817616249547,0.0,25.084772108910368,0.028219466120428804
 08/29  05:00:00,21.666666665,0.019619705537656806,0.0,25.0657049629134,0.02671099549559014
 08/29  05:10:00,21.3888888875,0.015012092769688333,0.0,25.033559513356266,0.028820466060955
 08/29  05:20:00,21.11111111,0.013604354264178055,0.0,25.07726344647227,0.027412727555444723
 08/29  05:30:00,20.8333333325,0.012165469002300361,0.0,25.016823218972235,0.02597384229356703
 08/29  05:40:00,20.555555555,0.010707431749658639,0.0,25.040956095443565,0.024515805040925306
 08/29  05:50:00,20.2777777775,0.009258131694483222,0.0,24.95840327160313,0.02306650498574989
 08/29  06:00:00,20.0,0.007892234808465194,0.0,25.020489949196634,0.02170060809973186
 08/29  06:10:00,20.4629629633333,0.03115994023009528,0.0,24.926243705275,0.19958721989441194
 08/29  06:20:00,20.9259259266667,0.049492797902310835,0.0,25.032246017441338,0.2179200775666275
 08/29  06:30:00,21.38888889,0.06743048751332166,0.0,25.050858885303033,0.23585776717763834
 08/29  06:40:00,21.8518518533333,0.08478589294898362,0.0,25.046375804776932,0.2532131726133003
 08/29  06:50:00,22.3148148166667,0.1014771226673936,0.0,25.077688233849965,0.26990440233171026
 08/29  07:00:00,22.77777778,0.11758077848050139,0.0,25.1344471619732,0.28600805814481806
 08/29  07:10:00,23.4259259275,0.15192210896952502,0.0,25.215007526373967,0.32543289913619167
 08/29  07:20:00,24.074074075,0.19383707165747277,0.0,25.262984082242568,0.3673478618241394
 08/29  07:30:00,24.7222222225,0.23133461807978278,0.0,25.2770066870669,0.40484540824644943
 08/29  07:40:00,25.37037037,0.2456357336249175,0.0,25.305639491370766,0.4191465237915841
 08/29  07:50:00,26.0185185175,0.2509382093327358,0.0,25.32407539297323,0.42444899949940246
 08/29  08:00:00,26.666666665,0.24761373785193055,0.0,25.324873808522337,0.42112452801859723
 08/29  08:10:00,26.8981481466667,0.2240765283869236,0.0,25.337442992881098,0.3925038080512403
 08/29  08:20:00,27.1296296283333,0.22455893289573556,0.0,25.353024944050663,0.39298621256005223
 08/29  08:30:00,27.36111111,0.22445397780355333,0.0,25.369387976648866,0.39288125746787
 08/29  08:40:00,27.5925925916667,0.22591274728108332,0.0,25.3861722104308,0.3943400269454
 08/29  08:50:00,27.8240740733333,0.22770032881653418,0.0,25.40319746629437,0.3961276084808508
 08/29  09:00:00,28.055555555,0.2294762898197011,0.0,25.420463715565266,0.3979035694840178
 08/29  09:10:00,28.5648148141667,0.10098767665576307,0.0,25.4197410979403,0.1080789666136964
 08/29  09:20:00,29.0740740733333,0.10502860328969972,0.0,25.429251725356902,0.11211989324763305
 08/29  09:30:00,29.5833333325,0.11019531839645999,0.0,25.439702039976265,0.11728660835439332
